Date,Title,Description
1954-05-08,Vietminh defeat French,Ho Chi Minh forces win their war for independence at the decisive battle of Dien Bien Phu.
1954-05-17,Brown v. Board of Education ruling,Supreme Court ended segregation of public education
1954-05-31,The pill invented,
1955-01-19,Khruschev is dominat leader in USSR,"In the years following Stalin‟s death in 1953, Nikita Khrushchev emerged as the dominant figure in the collective leadership of the USSR and, by early 1955, had consolidated his position to become the most prominent member of said leadership and de facto leader of the Soviet Union"
1955-04-12,Salk's polio vaccine becomes widely available,
1955-04-19,AFL-CIO is formed,"It was formed in 1955 when the AFL and the CIO merged after a long estrangement. From 1955-2005, the AFL–CIO's member unions represented nearly all unionized workers in the US. Several large unions split away from AFL–CIO and formed the rival Change to Win Federation in 2005. The largest union currently in the AFL–CIO is the American Federation of State, County and Municipal Employees (AFSCME), with more than a million members."
1955-07-17,"Disneyland Opens in Anaheim, CA",
1955-08-28,Murder of Emmett Till,"While visiting family in Money, MS, 14-yr-old Emmett Till, an African American from Chicago, is brutally murdered for flirting with a white woman 4 days earlier. His assailants--the white woman's husband & her brother- beat and killed Emmett. The Emmett Till murder trial brought  to light the brutality of Jim Crow segregation in the South and was an early impetus of the African American civil rights movement."
1955-12-01,Rosa Parks,Refuses to give up seat and starts the Montgomery bus boycott in AL
1956-04-27,Federal Highway Act Passes,"The 1956 act called for uniform interstate design standards to accommodate traffic forecast for 1975. Two lane segments, as well as at-grade intersections, were permitted on lightly traveled segments."
1956-09-09,Elvis 1st appears on Ed Sullivan,"Over 60 million people, both young and old, watched the show and many people believe it helped bridge the generation gap for Elvis' acceptance into the mainstream."
1956-10-23,Hungarian revolt,"The protestors boycotted work and demanded and independent country, but the Soviets put down the revolt."
1956-10-29,Suez Canal Crisis,"Britain, France, and Egypt all fought for control of the canal.  Britain and France recieved control."
1956-11-06,Ike reelected,
1957-05-18,Galbraith's The Affluent Society published,"Galbraith outlined his view that to become successful, post-World War II America should make large investments in items such as highways and education using funds from general taxation.  The Affluent Society contributed to the ""war on poverty""."
1957-05-30,40 million TVs in US,"Top TV shows1.I Love Lucy2.The Ed Sullivan Show3.General Electric Theatre4.The $64,000 Question5.December Bride6.Alfred Hitchcock Presents7.I've Got A Secret8.Gunsmoke9.The Perry Como Show10.The Jack Benny Show"
1957-09-23,Little Rock Nine,"Ike sends troops to Little Rock, AR H.S. to ensure integration"
1957-09-26,"""West Side Story"" Opens on Broadway",
1957-10-04,USSR launches Sputnik,"The world's first artificial satellite was about the size of a beach ball (22.8 inches in diameter), weighed only 183.9 pounds, and took about 98 minutes to orbit the Earth on its elliptical path. That launch ushered in new political, military, technological, and scientific developments. While the Sputnik launch was a single event, it marked the start of the space age and the U.S.-U.S.S.R space race."
1958-05-31,The hula hoop was invented,"by Richard Knerr and Arthur ""Spud"" Melin"
1959-01-01,Cuban Revolution,A successful armed revolt by Fidel Castro which overthrew the US-backed Cuban dictator Fulgencio Batista.
1959-05-31,The Barbie doll was invented,
1959-09-25,Khruschev-Eisenhower Summit,"There were no specific agreements or treaties, but both nations did resolve to reopen talks about Berlin and other issues related to cultural exchanges and trade.  A U-2 spy plane incident 1960 crushed any hopes for further improvement of U.S.-Soviet relations during the Eisenhower years."
1960-02-01,Sit-in protests begin,"Greensboro, NC lunch counter sit-in"
1960-05-01,U2 incident,A U-2 spy plane piloted by Francis Gary Powers was brought down in the Soviet Union
1960-11-05,John F. Kennedy elected President,"35th president of the United States, was assinated just before the end of his 1st term"
1961-04-11,Eichmann trial,"Israeli Security Service agents seized Eichmann in Argentina and took him to Jerusalem for trial in an Israeli court. Testimonies of Holocaust survivors, especially those of the ghetto fighters, generated interest in Jewish resistance. The trial prompted a new openness in Israel."
1961-04-17,Bay of Pigs Invasion,The Bay of Pigs Invasion was an unsuccessful attempt by United States-backed Cuban exiles to overthrow the Cuban dictator Fidel Castro.
1961-05-04,Freedom rides occur,C.O.R.E
1961-08-13,Construction of the Berlin Wall,"The Berlin Wall was a barrier constructed by East Germany that completely cut off West Berlin from surrounding East Germany and from East Berlin. The barrier included guard towers placed along large concrete walls,which circumscribed a wide area that contained anti-vehicle trenches, and other defenses."
1961-12-14,Presidential commission on status of women created,"Established by President John F. Kennedy to explore issues relating to women and to make proposals in such areas as employment policy, education, and federal Social Security and tax laws relaing to women."
1962-03-19,SCt. decides on Baker v. Carr,"was a landmark United States Supreme Court case that retreated from the Court's political question doctrine, deciding that redistricting (attempts to change the way voting districts are delineated) issues present justiciable questions, thus enabling federal courts to intervene in and to decide reapportionment cases. The defendants unsuccessfully argued that reapportionment of legislative districts is a ""political question"", and hence not a question that may be resolved by federal courts."
1962-06-19,SDS formed,"fewer than 100 people attend the first SDS convention at Port Huron, Michigan. The group adopts an official political manifesto, the Port Huron Statement, based largely on a draft by Tom Hayden. The power of the Port Huron Statement lies in the concept of a participatory democracy, in which people take part in making decisions that affect their lives. This view of political ownership is a central theme in the rise of the New Left."
1962-09-27,Rachel Carson's Silent Spring published,The book is widely credited with helping launch the environmental movement.
1962-10-12,James Meridith,Univ of Mississippi
1962-10-15,Cuban Missile Crisis,Soviet Premier Nikita Khrushchev conceived the idea of placing intermediate-range missiles in Cuba.  Kennedy announced the discovery of the missiles to the public and his decision to blockade the island.
1963-02-19,Betty Friedan's The Feminine Mystique published,It is widely credited with sparking the beginning of second-wave feminism in the United States.
1963-04-02,March on Birmingham,
1963-05-23,Organization of African Unity formed,To promote the unity and solidarity of the African states and act as a collective voice for the African continent and to eradication of all forms of colonialism.
1963-08-28,March on Washington,"200,000 civil rights supporter march on Washington, D.C. to support legislation"
1963-11-22,JFK assassinated,"Was killed in Dealey Plaza, Dallas, Texas. Kennedy was fatally shot while traveling with his wife Jacqueline, Texas governor John Connally in a Presidential motorcade.The Warren Commission concluded that the President was assassinated by Lee Harvey Oswald acting alone and that Jack Ruby acted alone when he killed Oswald."
1963-11-22,Lyndon B. Johnson becomes president of US,Took over as president when JFK was assassinated. Got elected president in the 1964 election and served just one term.
1964-04-12,Civil Rights Act passed,
1964-08-07,Congress passes Gulf of Tonkin Resolution,"Congress resolution authorizing the president to ""take all necessary measures to repel any armed attack against the forces of the US and to prevent aggression."""
1965-02-21,Malcolm X assassinated,
1965-03-08,US combat troops arrive in Vietnam,"The first American combat troops, the 9th Marine Expeditionary Brigade, arrive in Vietnam to defend the US airfield at Danang."
1965-07-30,Medicare & Medicaid programs,"This act was signed into law by President Lyndon Johnson.  It established Medicare, a health insurance program for the elderly, and Medicaid, a health insurance program for the poor."
1965-08-06,Voting rights act passed,
1965-08-15,Race riots in Watts,"A California officer, pulled over African American who the officer believed was intoxicated. African American failed to pass sobriety tests and soon after arrested. Officer refused to let African American's brother drive the car home, and radioed for it to be impounded. As events escalated, a crowd of onlookers steadily grew from dozens to hundreds. The mob became violent, throwing rocks and other objects while shouting at the police officers."
1966-06-13,SCt decides on Miranda v. AZ,"The Ct held that  statements made in response to interrogation by a defendant in police custody will be admissible at trial only if the prosecution can show that the defendant was informed of the rt to consult with an attorney before & during questioning and of the right against self-incrimination prior to questioning by police, & that the defendant not only understood these rights, but voluntarily waived them. This had a significant impact on law enforcrcement"
1966-06-19,NOW formed,"In several informal meetings followed by a national conference, a number of activists came together to form the National Organization for Women (NOW) in 1966, seeing the need for a civil rights organization specifically focused on women's rights. Betty Friedan was elected the first president of NOW and served in that office for three years."
1966-07-01,Medicare enacted,Medicare coverage began. All persons age 65 and over were automatically covered under Part A. Coverage began for seniors who signed up for the voluntary medical insurance program (Part B). More than 19 million individuals ages 65 and older were enrolled in Medicare.
1968-01-31,Tet Offensive,"The North Vietnamese join forces with the Viet Cong to launch the Tet Offensive, attacking approximately one hundred South Vietnamese cities and towns."
1968-04-04,MLK assassinated,
1968-06-19,AIM launched,"The movement was committed to unifying Native Am all across Am, &encouraging them to take pride in their Indian heritage. Native Americans were experiencing poverty, unemployment, & tribal land invasion throughout the generations after the forced assimilation period. The AIM’s primary goal was to make sure that the US govt followed through on the guidelines of its treaties with the Indians. As the gt continued to ignore the desires of the movement, the AIM became more aggressive"
1968-08-29,Democratic National Convention,"Held on Aug 26-29th in Chicago, the divisive politics of the convention, brought about by the Vietnam War policies of Pres Johnson, prompted the Dem party to completely overhaul its rules for selecting presidential delegates -- opening up the political process to millions. The violence between police & anti-Vietnam War protesters in the streets & parks of Chicago gave the city a black eye form which it has yet to recover from."
1968-11-17,Richard Nixon elected president,"The Rep nominee, former VP Nixon, won the election over the Dem nominee, incumbent VP Hubert Humphrey. Nixon ran on a campaign that promised to restore law & order to the nation's cities, torn by riots and crime. Analysts have argued the election of '68 is a realigning election as it permanently disrupted the New Deal Coalition that had dominated presidential politics for 36 yrs. LBJ chose not to run."
1969-07-21,America lands on the moon,"American Neil Armstrong has become the first man to walk on the Moon. As he put his left foot down first Armstrong declared: ""That's one small step for man, one giant leap for mankind."" He described the surface as being like powdered charcoal and the landing craft left a crater about a foot deep. Armstrong spent his first few minutes on the Moon taking photographs and soil samples in case the mission had to be aborted suddenly."
1970-04-10,Beatles Break Up,"Because of the death of their manager, legal/financial conflicts, and different artistic views, the relationship between the members of the Beatles began to strain. Realizing that them breaking up would eventually lead to their growth as icons and artists, they eventually broke up and went on with solo careers: John Lennon, George Harrison, Ringo Starr and Paul McCartney continued on with their own careers. Paul and Ringo are the only members remaining today."
1970-04-22,First Earth Day,"1st beginning as a protest to help the environment become an issue in US politics, Earth Day became an annual celebration to help promote awareness of some of our negative effects on our environments and ecosystems."
1970-05-04,Kent State shootings,"National Guardsmen open fire on a crowd of student antiwar protesters at Ohio's Kent State University, resulting in the death of four students and the wounding of eight others. President Nixon publicly deplores the actions of the Guardsmen, but cautions: ""when dissent turns to violence it invites tragedy."" Several of the protesters had been hurling rocks and empty tear gas canisters at the Guardsmen."
1971-03-17,26th Amendment passed,"lowering the voting age in America from 21 to 18 began during World War II and intensified during the Vietnam War, when young men denied the right to vote were being conscripted to fight for their country."
1971-06-13,Pentagon Papers published,"The New York Times publishes the Pentagon Papers, revealing a legacy of deception concerning U.S. policy in Vietnam on the part of the military and the executive branch."
1971-10-01,Disney World Opens,"There was little to no room for the development of Disneyland in CA. Therefore, various parts of FL were bought seperately. However, FL did not realize that these pieces of land were being bought by the Disney Corporation to become the next theme park."
1972-03-22,Equal Rights Amendment approved,"1st proposed by the Nat'l Woman's political party in 1923, the Equal Rights Amendment was to provide for the legal equality of the sexes & prohibit discrimination on the basis of sex. More than 4 decades later, the revival of feminism in the late '60s spurred its intro into Congress; Under the leadership of US Rep Bella Abzug of NY & feminists Betty Friedan and Gloria Steinem,"
1972-05-27,SALT I signed,"Soviet President Leonid Brezhnev and U.S. President Richard Nixon, meeting in Moscow, sign the Strategic Arms Limitation Talks (SALT) agreements. At the time, these agreements were the most far-reaching attempts to control nuclear weapons ever."
1972-06-17,Watergate Burglars arrested,"A political scandal that occurred in the United States in the 1970s as a 1972 break-in at the Democratic National Committee headquarters at the Watergate office complex in Washington, D.C., and the Nixon administration's attempted cover-up of its involvement. The scandal eventually led to the resignation of Richard Nixon"
1972-06-29,SCt decides on Furman v. GA,"was a US SCt decision that ruled on the requirement for a degree of consistency in the application of the death penalty. The case led to a de facto moratorium on capital punishment throughout the US, which came to an end when Gregg v. Georgia was decided in 1976."
1972-11-07,Nixon reelected,
1973-01-11,Stock Market crashes and recession begins,"Among the causes were the 1973 oil crisis & the fall of the Bretton Woods system. The emergence of newly industrialized countries increased competition in the metal industry, triggering a steel crisis, where industrial core areas in N Am & Europe were forced to re-structure. The 1973-74 stock market crash made the recession evident. The recession in the US lasted from Nov 1973 to Mar 1975, although its effects on the US were felt until mid-term of Reagan's 1st term as president."
1973-01-22,SCt decides on Roe v. Wade,"Decided simultaneously with a companion case, Doe v. Bolton, the Court ruled 7–2 that a right to privacy under the due process clause of the 14th Amendment extended to a woman's decision to have an abortion, but that right must be balanced against the state's two legitimate interests in regulating abortions: protecting prenatal life and protecting women's health.  Giving the right to women to have an abortion."
1973-01-27,End to Vietnam War,"A cease-fire agreement in Paris, in the words of Richard Nixon, ""brings peace with honor in Vietnam and Southeast Asia,"" is signed in Paris by Henry Kissinger and Le Duc Tho. The agreement is to go into effect on January 28th"
1973-04-17,War Powers Act passed,"a fed law intended to check the Pres' power to commit the US to an armed conflict without the consent of Congress. The resolution was adopted in the form of a US Congress joint resolution; this provides that the Pres can send US armed forces into action abroad only by authorization of Congress or in case of ""a national emergency created by attack upon the US, its territories or possessions, or its armed forces."" It requires the Pres to notify Congress within 48 hrs of committing armed for war."
1973-10-16,OPEC levys oil embargo,is the Organization of the Petroleum Exporting Countries. It is an oil cartel whose mission is to coordinate the policies of the oil-producing countries. The goal is to secure a steady income to the member states and a secure supply of oil to the consumers. Those who invest in petroleum activities should receive a fair return on their investments. OPEC began to gain influence and steeply raised oil prices during the 1973 Oil Crisis in response to US aid to Israel during the Yom Kippur War.
1974-08-08,Nixon resigns,"Gerald Ford takes over as President of the US. In an evening televised address, Pres Nixon announces his intention to become the 1st pres in US history to resign. With impeachment proceedings underway against him for his involvement in the Watergate affair,"
1975-04-04,Microsoft Inc. Founded,"The most well-known computer company was founded by Bill Gates & Paul Allen. They were said to be on a mission to make the PC public, spending vast amounts of time on creating a home computer. The first computer language sold in the 1st year was the Altair BASIC."
1976-11-19,Jimmy Carter elected president,"A peanut farmer & one-term governor from GA, the divisive Vietnam conflict & Nixon's Watergate saga had undermined confidence in govt & left public spirit at an all-time low.  The election was so close that it was not until 3:30 am that Carter knew he had won. Carter received 50% of the popular vote to Ford's 48%, but his advantage in the electoral college was a thin 297 to 241. Carter received 50% of the pop vote to Ford's 48%, but his adv in the electoral college was a thin 297 to 241."
1977-04-16,Apple introduces 1st personal computer,"The personal computer industry truly began when introduced the Apple II, one of the first pre-assembled, mass-produced personal computers. Radio Shack and Commodore Business Machines also introduced personal computers that year. These machines used eight-bit microprocessors (which process information in groups of eight bits, or binary digits, at a time) and possessed rather limited memory capacity—i.e., the ability to address a given quantity of data held in memory storage."
1978-06-06,Prop 13,"was an amendment of the Constitution of California,  which limited the tax rate for real estate."
1978-09-17,Camp David Accords signed,"At the White House in Washington, D.C., Egyptian President Anwar el-Sadat and Israeli Prime Minister Menachem Begin sign the Camp David Accords, laying the groundwork for a permanent peace agreement between Egypt and Israel after three decades of hostilities. The accords were negotiated during 12 days of intensive talks at President Jimmy Carter's Camp David retreat in the Catoctin Mountains of Maryland."
1979-07-15,Energy crisis,"in the US occurred in the wake of the Iranian Revolution. Amid massive protests, the Shah of Iran, Mohammad Reza Pahlavi, fled his country in early 1979 and the Ayatollah Khomeini soon became the new leader of Iran. Protests severely disrupted the Iranian oil sector, with production being greatly curtailed and exports suspended. When oil exports were later resumed under the new regime, they were inconsistent and at a lower volume, which pushed prices up."
1979-11-04,Iran Hostage Crisis,"A group of Iranian students stormed the US Embassy in Tehran, taking more than 60 US hostages. The immediate cause of this action was Pres Carter’s decision to allow Iran’s deposed Shah, a pro-Western autocrat who had been expelled from his country some months before, to come to the US for cancer treatment. The students set their hostages free on January 21, 1981, 444 days after the crisis began and just hours after Pres Reagan delivered his inaugural address. Sets up the movie ""Argo""."
1980-05-21,US boycotts Olympics,"President Jimmy Carter informs a group of U.S. athletes that, in response to the Dec1979 Soviet incursion into Afghanistan, the US boycott the 1980 Olympics in Moscow. It marked the first and only time that the US has boycotted the Olympics."
1980-05-22,Pac-Man video game released,"in Japan and by October of the same year it was released in the United States. The yellow, pie-shaped Pac-Man character, who travels around a maze trying to eat dots and avoid four mean ghosts, quickly became an icon of the 1980s. To this day, Pac-Man remains one of the most popular video games in history."
1980-06-01,Ted Turner establishes CNN,"the 1st 24-hour cable news channel. In addition, he founded WTBS, which pioneered the superstation concept in cable television."
1980-11-04,Ronald Reagan elected President,Reagan won the Republican nomination and successfully ran against incumbent President Jimmy Carter for president.  He is the oldest person elected president.
1981-06-05,AIDS 1st reported in US,"The acquired immunodeficiency syndrome (AIDS) epidemic has had a substantial impact on the health and economy of many nations (1). Since the first AIDS cases were reported in the United States in June 1981, the number of cases and deaths among persons with AIDS increased rapidly during the 1980s followed by substantial declines in new cases and deaths in the late 1990s."
1981-07-07,1st Woman appointed U.S. Supreme Court,"President Ronald Reagan nominated Sandra Day O'Connor to be the first woman on the U.S. Supreme Court. On September 21, the United States Senate confirmed O'Connor in a vote of 99 for and zero against. Sandra Day O'Connor was officially sworn in and took her seat on the U.S. Supreme Court on September 25, 1981."
1983-03-23,SDI plan announced,Reagan announced his intention to embark upon groundbreaking research into a national defense system that could make nuclear weapons obsolete. The heart of the program was to develop a space-based missile defense program that could protect the country from a large-scale nuclear attack.
1983-06-18,Sally Ride 1st American Woman in Space,"Ride's turn to go into space came at the shuttle program's seventh mission, as a crew member aboard Challenger. She was aboard Challenger for her second flight as well, an eight-day mission in 1984. In all, Ride logged around 345 hours in space. While it was a milestone for the U.S. space program, the Soviet Union's Valentina Tereshkova preceded Ride into space by almost exactly 20 years. On June 16, 1963, the former textile worker went aloft aboard Vostok VI."
1983-10-25,US invades Grenada,"President Ronald Reagan, citing the threat posed to American nationals on the Caribbean nation of Grenada by that nation's Marxist regime, orders the Marines to invade and secure their safety. There were nearly 1,000 Americans in Grenada at the time, many of them students at the island's medical school. In little more than a week, Grenada's government was overthrown."
1984-11-06,Reagan wins reelection,"Repub Reagan was elected to a 2nd term, defeating Dem Walter Mondale, a former US vice president. Reagan won 49 states en route to amassing 525 electoral votes to Mondale’s 13—one of the biggest landslides in US election history. Mondale made history by choosing as his running mate Geraldine Ferraro—the 1st woman selected by a major political party for its presidential ticket."
1985-12-20,Crack cocaine in US cities,"While the use of coca leaves as an intoxicant dates back three thousand years, crack cocaine, a crystallized form of cocaine, was developed during the cocaine boom of the 1970s and its use spread in the mid-1980s."
1986-01-28,"U.S. space shuttle ""Challenger"" explodes","Space Shuttle Challenger  broke apart 73 sec into its flight, leading to the deaths of its seven crew members. The spacecraft disintegrated over the Atlantic O, off the coast of central FL. Disintegration of the entire vehicle began after an O-ring seal in its right solid rocket booster failed at liftoff."
1986-04-15,US launches airstrike on Libya,"President Reagan has justified the attacks by accusing Libya of direct responsibility for terrorism aimed at America, such as the bombing of La Belle discoteque in West Berlin 10 days ago."
1986-11-25,Iran-contra scandal revealed,"U.S. Attorney General Edwin Meese announced that the United States was selling weapons to Iran in contravention of an embargo and funneling the profits to the brutally barbaric Contra rebels in Nicaragua in direct violation of U.S. law. What would come to be known as the Iran-Contra Affair exploded into the biggest scandal of Ronald Reagan’s scandal-ridden administration, and the President himself would be implicated in criminal activity."
1988-07-19,US & USSR sign INF treaty,"The treaty eliminated nuclear and conventional ground-launched ballistic and cruise missiles with intermediate ranges, defined as between 300-3,400 miles."
1988-11-08,George H.W. Bush becomes president,"Former VP, Bush, won the Repub nomination, & chose the young Sen of IN, Dan Quayle as his running mate. The Dem nominated Michael Dukakis, Gov of MA and TX Senator Lloyd Bentsen as his running mate. Bush capitalized on a good economy, a stable international stage, and on Pres Reagan's popularity, running an aggressive campaign."
1989-11-09,Berlin Wall is dismantled,"In 1989, a series of radical political changes occurred in the Eastern Bloc, associated with the liberalization of the Eastern Bloc's authoritarian systems and the erosion of political power in the pro-Soviet governments in nearby Poland and Hungary. After several weeks of civil unrest, the East German govt announced on that all GDR citizens could visit West Germany & West Berlin. The fall of the Berlin Wall paved the way for German reunification, which was formally concluded on 3 Oct 1990."
1989-12-20,American forces in Panama,"American troops have invaded Panama in a bid to oust dictator Manuel Noriega. Around 200 civilians, 19 US soldiers and 59 Panamanian troops are believed to have died in the fighting after President George Bush sent forces into the Central American country"
1989-12-20,US invade Panama,Bush announces U.S. military action in Panama leading to the capture of renegade dictator Manuel Noriega.
1990-07-26,Americans with Disabilities Act passed,prohibiting discrimination based on disabilities.
1990-11-15,Clean Air Act Amendments,"The Amendments seek ways to reduce smog and atmospheric pollution, which includes prohibiting the use of leaded gasoline in motor vehicles by the end of 1995."
1991-01-16,Persian Gulf War begins,"Iraqi leader Saddam Hussein ordered the invasion and occupation of neighboring Kuwait in early Aug 1990. Alarmed by these actions, fellow Arab powers such as Saudi Arabia & Egypt called on the US & other Western nations to intervene. Hussein defied UN Security Council demands to withdraw from Kuwait by mid-Jan '91, & the War began with a massive US-led air offensive known as Operation Desert Storm."
1991-12-31,End of the Cold War,"The concluding drama of the Cold War -- the collapse of communism in the USSR and E Europe & the end of the 4 decade-old East-West conflict. The 1st step in  end of the Cold War came when Mikhail S. Gorbachev implicitly abandoned the Brezhnev Doctrine. The 2nd act of the drama began in the fall of 1989 with peaceful revolutions in E & Cen Europe (except Romania) & the fall of the Soviet ""outer empire."" The third and final act closed with the '91 dissolution of the USSR."
1992-04-29,Race riot in LA,"Also known as the Rodney King Riots were a race riot & subsequent looting & civil disturbance that occurred in LA, CA following a police brutality incident. It was among the largest riots in US history. The riots started after a trial jury acquitted four LAPD officers of assault and use of excessive force. The mostly white officers were videotaped beating an African-American named Rodney King following a high-speed police pursuit."
1992-11-03,Bill Clinton becomes president,"There were three major candidates: Incumbent Republican Pres Bush; Demo AR Gov Bill Clinton, & independent TX businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the dissolution of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq."
1993-02-26,1st World Trade Center Attack,"A bomb built in nearby Jersey City is driven into an underground garage at the trade center and detonated, killing six and wounding 1,500.  Yousef, nephew of Khalid Sheik Mohammed, masterminds the attack, working with nearly a dozen local Muslims."
1993-04-25,Family and Medical Leave Act passed,"employers to provide employees job-protected and unpaid leave for qualified medical and family reasons. Qualified medical and family reasons include: personal or family illness, family military leave, pregnancy, adoption, or the foster care placement of a child."
1993-12-08,NAFTA passed,"The North American Free Trade Agreement (NAFTA) is signed into law by President Bill Clinton. Clinton said he hoped the agreement would encourage other nations to work toward a broader world-trade pact. NAFTA, a trade pact between the United States, Canada, and Mexico, eliminated virtually all tariffs and trade restrictions between the three nations."
1995-01-24,OJ Simpson Trial,"Former American football star and actor O. J. Simpson was tried on two counts of murder following the Jun 1994 deaths of his ex-wife Nicole Brown Simpson and her friend Ronald Lyle Goldman. The case has been described as the most publicized criminal trial in American history. Ultimately, Simpson was acquitted after a lengthy trial that lasted over eight months which was presided over by Judge Lance Ito."
1996-08-22,Congress passes major welfare reform bill,"The Personal Responsibility and Work Opportunity Reconciliation Act of 1996 (PRWORA) is a US federal law considered to be a fundamental shift in both the method and goal of federal cash assistance to the poor. The bill added a workforce development component to welfare legislation, encouraging employment among the poor."
1996-11-05,Clinton reelected president,The contest was between the Democratic national ticket of President Bill Clinton from Arkansas and Vice President Al Gore from Tennessee and the Republican national ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp from New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party with economist Pat Choate as his running mate.
1997-12-11,Kyoto Protocol,"A GlobKyoto Protocol is an international agreement linked to the United Nations Framework Convention on Climate Change, which commits its Parties by setting internationally binding emission reduction targets. Recognizing that developed countries are principally responsible for the current high levels of GHG emissions in the atmosphere as a result of more than 150 years of industrial activity."
1998-12-19,Clinton impeached,"was impeached by the House of Representatives on two charges, one of perjury and one of obstruction of justice. 2 other impeachment articles, a 2nd perjury charge and a charge of abuse of power, failed in the House. The charges arose from the Lewinsky scandal and the Paula Jones lawsuit."
1999-04-20,Columbine Shooting,"in Littleton, Colorado, 2 high-school seniors, Dylan Klebold & Eric Harris, enacted an all-out assault on Columbine HS during the middle of the school day. The boys' plan was to kill hundreds of their peers. With guns, knives, & a multitude of bombs, the 2 boys walked the hallways and killed. When the day was done, 12 students, 1 teacher, and the 2 murderers were dead; plus 21 more were injured."
